url,title,alternative_title,publisher_info,journal_info,year,pages,ddc,authors,subjects,type
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=233557,"Global logistics and supply chain management /John Mangan, Chandra Lalwani",,"Southern Gate, Chichester, West Sussex, UK :Wiley,2016",,2016.0,"xvii, 393 pages :illustrations ;25 cm",658.7,"Mangan, John::author|Lalwani, Chandra::contributor",Business logistics,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=239324,Bạn muốn trở thành phiên dịch giỏi? - Cẩm nang kỹ năng nghề phiên dịch :Tất cả mọi bí quyết và nguyên tắc thành công cho nghề phiên dịch đều nằm ở trong quyển sách này /Lê Huy Khoa,Cẩm nang kỹ năng nghề phiên dịch :Tất cả mọi bí quyết và nguyên tắc thành công cho nghề phiên dịch đều nằm ở trong quyển sách này,"TP Hồ Chí Minh :Tổng hợp TP Hồ Chí Minh,2023",,2023.0,328 tr. :Minh họa ;21 cm,418.02,Lê Huy Khoa::author,Phiên dịch và dịch thuật|Phiên dịch,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=239318,Tiền bẩn :Lật tẩy những cú lừa thế kỷ và thủ thuật thao túng tài chính chấn động nước Mỹ /Kelly Richmond Pope; Phạm Trúc Quỳnh (dịch),"Fool me once : scams, stories, and secrets from the trillion-dollar fraud industry","Hà Nội :Công thương,2023",,2023.0,"350 tr. :Minh họa ;20,5 cm",364.163,"Pope, Kelly Richmond::author|Phạm Trúc Quỳnh::contributor",Gian lận|Tâm lý học công nghiệp|Đạo đức kinh doanh,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=239317,Xoay trục :Tương lai nghệ thuật lãnh đạo của Mỹ ở Châu Á /Kurt M. Campbell; Nguyễn Văn Sảnh và những người khác dịch và hiệu đính,The Pivot : the future of American statecraft in Asia,"TP Hồ Chí Minh :Trẻ,2017",,2017.0,491 tr. ;23 cm,327.5073,"Campbell, Kurt M.::author|Nguyễn Hồng Quang::contributor|Nguyễn Văn Sảnh::contributor|Nguyễn Tuấn Linh::contributor",Châu Á- Quan hệ nước ngoài|Hoa Kỳ- Quan hệ nước ngoài,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=239082,Góc nhìn cận cảnh :Thế giới và Biển Đông sau phán quyết của Tòa Trọng tài /Trần Nam Tiến (Chủ biên) và những người khác,,"TP Hồ Chí Minh :Tổng hợp TP Hồ Chí Minh,2025",,2025.0,253 tr. :Minh họa,320.15,Trần Nam Tiến::contributor|Phạm Ngọc Minh Trang::contributor|Huỳnh Tâm Sáng::contributor|Nguyễn Thu Trang::contributor,Chủ quyền|Quần đảo Hoàng Sa|Quần đảo Trường Sa,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=239064,"Lịch sử thủy lợi Việt Nam /Phan Khánh (Chủ biên), Nguyễn Ân Niên, Nguyễn Ty Niên",,"TP Hồ Chí Minh :Tổng hợp TP Hồ Chí Minh,2024",,2024.0,520 tr. :Minh họa,333.913,Phan Khánh::author|Nguyễn Ân Niên::contributor|Nguyễn Ty Niên::contributor,Thủy lợi- Lịch sử|Việt Nam- Lịch sử,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=239057,"Lý thuyết về dịch thuật :Một dẫn nhập ngắn /Bùi Thị Ngọc Lan, Nguyễn Văn Hà, Nguyễn Vương Tuấn",The theory of translation : a very short introduction,"TP Hồ Chí Minh :Tổng hợp TP Hồ Chí Minh,2025",,2025.0,"158 tr. ;16,5 cm",418.02,Bùi Thị Ngọc Lan::author|Nguyễn Vương Tuấn::contributor|Nguyễn Văn Hà::contributor,Dịch thuật và phiên dịch|Phiên dịch- Lý thuyết,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=239002,Triết học tổng quát :Vấn đề triết học /Nguyễn Văn Trung,,"TP Hồ Chí Minh :Tổng hợp TP Hồ Chí Minh,2024",,2024.0,216 tr. ;20 cm,102.0,Nguyễn Văn Trung::author,Triết học|Triết học và khoa học,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=239000,"Huế và triều Nguyễn, theo dấu thời gian /Đỗ Minh Điền",,"TP Hồ Chí Minh :Tổng hợp TP Hồ Chí Minh,2024",,2024.0,296 tr. :Minh họa ;23 cm,959.7029,Đỗ Minh Điền::author,Huế (Việt Nam)- Lịch sử|Triều nhà Nguyễn|Việt Nam- Lịch sử,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=238999,Tiếng Việt chữ nghĩa - Hồn vía dân gian /Phạm Văn Tình,,"TP Hồ Chí Minh :Tổng hợp TP Hồ Chí Minh,2025",,2025.0,268 tr. ;21 cm,495.922,Phạm Văn Tình::author,Ca dao Việt Nam|Truyện thơ Việt Nam|Tục ngữ Việt Nam,book
