"Position","Book Title and Author","Book Details Link","Book Thumbnail"
33,"Các phương pháp sơ đồ mạng trong xây dựng /Trịnh Quốc Thắng [26-01-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=235682","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/600_khoahocungdung_congnghe/620_congnghe_hoatdonglienhe/cacphuongphapsodomangtrongxaydung_trinhquocthang/00509_001_thumbimage.jpg"
34,"Chiếu sáng đường giao thông nông thôn /Vũ Phương Thảo (chủ biên) và những người khác [26-01-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=235681","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/600_khoahocungdung_congnghe/620_congnghe_hoatdonglienhe/chieusangduonggtnongthon_vuphuongthao/0chieusangduonggtnongthon_vuphuongthao_001_thumbimage.jpg"
35,"Giáo trình thủy điện /Nguyễn Văn Nghĩa (chủ biên) và những người khác [23-01-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=235664","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/600_khoahocungdung_congnghe/620_congnghe_hoatdonglienhe/gtthuydien_nguyenvannghia/0gtthuydien_nguyenvannghia_001_thumbimage.jpg"
36,"Chủ nghĩa tự do của Hayek /Gilles Dostaler; Nguyễn Đôn Phước dịch [23-01-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=235662","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/300_khoahocxahoi/330_kinhtehoc/chunghiatudocuahayek_gillesdostaler/0chunghiatudocuahayek_gillesdostaler_001_thumbimage.jpg"
37,"Giáo trình xã hội học giáo dục /Lê Ngọc Lan [23-01-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=235656","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/300_khoahocxahoi/300_khoahocxahoi/giaotrinhxahoihocgiaoduc_lengoclan/0giaotrinhxahoihocgiaoduc_lengoclan_001_thumbimage.jpg"
38,"Giáo trình toán ứng dụng trong kỹ thuật /Ngô Như Khoa, Ôn Ngũ Minh, Phạm Thị Thu Hằng [23-01-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=235651","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/500_tunhien_toan/510_toanhoc/gttoanungdungtrongkt_ngonhukhoa/0gttoanungdungtrongkt_ngonhukhoa_001_thumbimage.jpg"
39,"Giáo trình tâm lí học giáo dục /Nguyễn Đức Sơn và những người khác [23-01-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=235625","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/300_khoahocxahoi/370_giaoduc/gttamlyhocgiaoduc_nguyenducson/0gttamlyhocgiaoduc_nguyenducson_001_thumbimage.jpg"
40,"Giáo trình Văn thư /Triệu Văn Cường [23-01-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=235624","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/000_tongquat/020_khoahocthongtin_thuvien/giaotrinhvanthu_trieuvancuong/0giaotrinhvanthu_trieuvancuong_001_thumbimage.jpg"
41,"Giáo trình quyền lực chính trị :Dùng cho hệ đào tạo cử nhân Chính trị học /Lê Minh Quân (chủ biên), Lưu Minh Văn [23-01-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=235620","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/300_khoahocxahoi/320_chinhtrihoc/gtquyenlucchinhtri_leminhquan/0gtquyenlucchinhtri_leminhquan_001_thumbimage.jpg"
42,"Giáo trình mạng truyền thông công nghiệp /Phạm Thị Lý (chủ biên), Vũ Thị Quỳnh, Nguyễn Nhật Thanh, Lại Bạch Thị Thu Hà [23-01-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=235579","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/600_khoahocungdung_congnghe/620_congnghe_hoatdonglienhe/gtmangtruyenthongcongnghiep_phamthily/0gtmangtruyenthongcongnghiep_phamthily_001_thumbimage.jpg"
43,"Giáo trình lịch sử ngoại giao Việt Nam /Hoàng Thị Mỹ Hạnh, Hà Thị Thu Thủy [23-01-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=235572","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/300_khoahocxahoi/320_chinhtrihoc/gtlichsungoaigiaovn_hoangthimyhanh/0gtlichsungoaigiaovn_hoangthimyhanh_001_thumbimage.jpg"
44,"Giáo trình địa chất đại cương và địa chất lịch sử /Phùng Ngọc Đĩnh, Lương Hồng Nhược [23-01-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=235571","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/500_tunhien_toan/550_khoahoctraidat/gtdiachatdaicuongvadiachatls_phungngocdinh/0gtdiachatdaicuongvadiachatls_phungngocdinh_001_thumbimage.jpg"
45,"Giáo trình thực hành điện tử công suất (Mạch nghịch lưu) /Lê Hoàng Minh, Lê Thanh Đạo, Bùi Thị Tuyết Đan [23-01-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=235565","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/600_khoahocungdung_congnghe/620_congnghe_hoatdonglienhe/giaotrinhthuchanhdientucongsuat_machnghichluu_lethanhdao/0giaotrinhthuchanhdientucongsuat_machnghichluu_lethanhdao_001_thumbimage.jpg"
46,"Giáo trình chính sách đối ngoại của một số nước lớn trên thế giới /Phạm Minh Sơn (chủ biên) và những người khác [23-01-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=235553","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/300_khoahocxahoi/320_chinhtrihoc/gtcsdncuamotsonuoclontrentg_phamminhson/0gtcsdncuamotsonuoclontrentg_phamminhson_001_thumbimage.jpg"
47,"Tổng hợp ancol từ H2/CO :Sách chuyên khảo /Nguyễn Tiến Thảo [23-01-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=235534","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/500_tunhien_toan/540_hoahoc_khoahoclienhe/tonghopancoltuh2co_nguyentienthao/0tonghopancoltuh2co_nguyentienthao_001_thumbimage.jpg"
48,"Giáo trình Thống kê đầu tư và xây dựng /Phan Công Nghĩa [23-01-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=235532","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/300_khoahocxahoi/330_kinhtehoc/giaotrinhvatlithongkevanhietdongluc_nguyenquanghoc/0giaotrinhvatlithongkevanhietdongluc_nguyenquanghoc_001_thumbimage.jpg"
49,"Giáo trình cao học thủy lợi - Mô hình toán thủy văn /Lê Văn Nghinh (chủ biên), Bùi Công Quang, Hoàng Thanh Tùng [22-01-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=235529","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/500_tunhien_toan/550_khoahoctraidat/gtcaohocthuyloimohinhtoanthuyvan_levannghinh/0gtcaohocthuyloimohinhtoanthuyvan_levannghinh_001_thumbimage.jpg"
50,"Thực hành sửa chữa màn hình tinh thể lỏng /Vân Anh [22-01-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=11&material_type=2&dmd_id=235522","https://thuvien.ntu.edu.vn/ntukiposdata11/sachdientu/tiengviet/600_khoahocungdung_congnghe/620_congnghe_hoatdonglienhe/thuchanhsuachuamanhinhtinhthelong_vananh/0thuchanhsuachuamanhinhtinhthelong_vananh_001_thumbimage.jpg"
